shop_id,weather_col_0,weather_col_1,weather_col_2,weather_col_3,weather_col_4,weather_col_5,weather_col_6
1,0,0,0,0,0,1,0
2,0,1,1,1,1,1,1
3,0,1,1,0,0,1,0
4,1,1,0,1,1,1,1
5,1,0,0,0,0,1,0
6,1,1,0,1,1,0,1
7,1,0,1,0,0,1,0
8,1,0,0,0,0,1,0
9,1,0,0,0,0,1,0
10,0,0,0,0,0,0,1
11,1,0,0,0,1,1,0
12,1,0,1,0,0,1,0
13,1,0,0,0,0,1,0
14,1,1,1,1,1,1,1
15,0,0,0,1,1,1,1
16,0,0,0,0,0,0,0
17,1,1,1,1,1,1,1
18,1,1,1,1,1,1,1
19,1,0,0,0,1,1,0
20,1,1,1,1,1,1,1
21,1,0,0,0,1,1,0
22,0,0,0,1,0,1,1
23,1,0,1,1,1,1,1
24,1,1,1,0,0,1,1
25,0,0,0,0,0,0,0
26,1,1,1,1,1,1,1
27,1,1,0,1,1,1,1
28,1,1,1,1,1,1,1
29,1,1,1,1,1,1,1
30,1,1,1,1,1,1,1
31,1,1,0,1,1,1,1
32,1,0,0,0,0,1,0
33,1,0,1,0,1,1,1
34,1,0,0,0,0,1,0
35,0,1,1,1,1,1,1
36,1,1,1,1,1,1,1
37,1,0,0,0,1,1,0
38,1,1,1,1,1,1,1
39,1,0,0,0,1,1,0
40,0,0,0,0,0,1,0
41,1,0,0,0,1,1,0
42,0,0,0,0,0,0,0
43,1,1,1,0,1,1,0
44,1,0,0,1,1,1,1
45,1,0,1,0,0,1,0
46,1,0,0,0,0,1,0
47,1,1,0,1,1,1,1
48,1,0,1,0,0,1,0
49,0,0,0,0,0,1,0
50,1,0,0,0,1,1,0
51,1,1,0,1,1,1,1
52,1,0,1,0,0,1,0
53,1,0,0,0,0,1,0
54,0,0,0,0,0,0,0
55,1,0,0,0,1,1,0
56,1,0,1,0,1,1,1
57,1,0,0,0,1,1,0
58,1,0,0,0,0,1,0
59,1,0,0,0,1,1,0
60,1,0,1,0,1,1,1
61,1,1,1,1,1,1,1
62,1,0,0,0,0,1,1
63,1,1,1,0,0,1,1
64,1,0,1,0,1,1,1
65,1,0,0,0,1,1,0
66,1,0,1,0,0,1,0
67,1,0,0,0,0,1,0
68,1,1,1,1,1,1,1
69,1,0,0,0,0,1,0
70,1,1,0,1,1,1,1
71,1,1,0,1,1,1,1
72,1,1,1,1,1,1,1
73,1,0,0,0,0,1,0
74,1,0,0,0,1,1,0
75,1,1,0,1,1,1,1
76,1,1,1,1,1,1,1
77,1,0,1,0,0,1,0
78,1,0,0,0,1,1,0
79,1,0,0,0,1,1,0
80,1,1,1,0,1,1,0
81,1,0,0,0,1,1,0
82,1,1,1,1,1,1,1
83,0,0,0,0,0,0,0
84,1,0,0,0,1,1,0
85,1,0,0,0,0,1,0
86,1,0,1,0,1,1,1
87,1,1,1,1,1,1,1
88,1,1,1,0,0,1,1
89,0,0,0,1,0,1,1
90,1,0,0,0,1,1,0
91,1,1,1,1,1,1,1
92,1,0,1,0,1,1,1
93,1,1,1,1,1,1,1
94,1,1,1,1,1,1,1
95,1,1,0,1,1,1,1
96,0,0,0,0,0,0,0
97,1,1,0,1,1,1,1
98,1,1,1,1,1,1,1
99,1,1,1,1,1,0,1
100,1,0,0,0,0,1,0
101,1,1,1,0,0,1,1
102,1,0,0,0,0,1,0
103,1,1,0,1,1,1,1
104,1,1,1,1,1,1,1
105,1,0,0,0,0,1,0
106,1,1,1,1,1,1,1
107,1,0,0,0,0,1,0
108,1,0,0,0,1,1,0
109,1,1,1,0,1,1,0
110,1,1,0,1,1,1,1
111,1,1,0,1,1,1,1
112,1,1,1,1,0,1,1
113,1,1,1,1,1,1,1
114,1,0,0,0,1,1,0
115,1,0,0,0,0,1,0
116,1,0,0,0,0,1,0
117,1,0,0,0,0,1,0
118,1,1,0,1,1,1,1
119,1,1,0,1,1,1,1
120,1,0,0,0,0,1,0
121,1,0,0,0,1,1,0
122,1,0,0,0,1,1,0
123,1,1,0,1,1,1,1
124,1,0,0,0,0,1,0
125,1,1,0,1,1,0,1
126,1,0,1,0,1,1,1
127,0,0,0,0,0,0,0
128,1,1,1,0,0,1,1
129,1,0,1,0,0,1,0
130,1,0,0,0,0,1,0
131,0,0,0,0,0,0,0
132,0,1,1,1,1,1,1
133,1,1,1,1,1,1,1
134,1,0,1,0,0,1,0
135,1,0,0,0,1,1,0
136,0,0,0,0,0,0,0
137,1,0,1,0,0,1,0
138,1,0,0,0,1,1,0
139,1,0,0,0,1,1,0
140,1,1,0,1,1,1,1
141,1,1,0,1,1,1,1
142,1,0,0,0,0,1,0
143,1,1,0,1,1,1,1
144,1,0,0,0,1,1,0
145,1,1,1,0,0,1,1
146,1,1,1,1,1,1,1
147,1,1,1,1,1,1,1
148,0,0,0,0,0,0,0
149,1,1,1,1,1,1,1
150,1,1,1,1,1,1,1
151,1,0,0,0,1,1,0
152,0,0,0,0,0,0,0
153,0,0,0,0,0,0,0
154,1,1,1,1,1,1,1
155,0,1,1,1,1,1,1
156,0,1,1,1,1,1,1
157,1,1,0,1,1,1,1
158,1,1,1,0,0,1,1
159,1,1,1,0,1,1,0
160,1,0,0,0,1,1,0
161,1,0,0,0,0,1,0
162,1,1,1,1,1,1,1
163,1,0,0,0,0,1,0
164,0,0,0,0,0,0,0
165,1,0,0,0,0,1,0
166,1,1,0,1,1,1,1
167,1,0,1,0,0,1,0
168,1,0,0,0,0,1,0
169,1,0,0,0,0,1,0
170,1,1,0,1,1,1,1
171,1,0,0,0,1,1,0
172,1,1,0,1,1,1,1
173,1,0,0,0,0,1,0
174,1,1,1,0,0,1,1
175,0,0,0,0,0,0,0
176,1,0,0,0,0,1,0
177,1,0,0,0,1,1,0
178,1,0,0,0,1,1,0
179,1,0,0,0,0,1,0
180,1,0,0,0,0,1,0
181,0,0,0,0,0,0,0
182,1,0,0,1,1,1,1
183,1,1,0,1,1,1,1
184,1,1,0,1,1,1,1
185,1,1,1,1,1,1,1
186,1,0,0,0,0,1,0
187,0,1,1,1,1,1,1
188,1,0,0,0,0,1,0
189,0,0,0,0,0,0,0
190,1,1,1,1,1,1,1
191,1,1,1,1,1,1,1
192,0,1,1,1,1,1,1
193,0,0,0,1,1,1,1
194,1,0,0,0,1,1,0
195,0,0,0,0,0,0,1
196,1,1,1,1,1,1,1
197,1,0,1,0,0,1,0
198,1,0,0,0,0,1,0
199,1,0,0,0,0,1,0
200,1,0,0,0,1,1,0
201,1,0,0,0,0,1,0
202,1,1,1,1,1,1,1
203,1,0,0,0,1,1,0
204,0,1,1,1,1,1,1
205,1,0,0,0,0,1,0
206,0,1,1,1,1,1,0
207,1,1,0,1,1,1,1
208,1,1,0,1,1,1,1
209,1,0,0,0,0,1,0
210,0,0,0,0,0,0,0
211,1,1,1,1,1,1,1
212,0,0,0,0,0,1,0
213,1,1,1,0,0,1,1
214,1,1,1,1,1,1,1
215,1,1,0,1,1,1,1
216,1,1,0,1,1,1,1
217,1,0,0,0,0,1,0
218,1,1,0,1,1,1,1
219,1,1,1,0,0,1,1
220,1,0,0,0,0,1,0
221,0,0,0,0,0,0,0
222,0,1,1,0,0,1,0
223,0,0,0,0,0,0,0
224,1,1,1,0,0,1,1
225,1,0,1,0,0,1,0
226,1,1,1,1,1,1,1
227,0,0,0,1,1,1,1
228,1,0,0,0,0,1,0
229,0,1,1,1,1,1,1
230,1,1,1,1,1,1,1
231,1,0,0,0,0,1,0
232,1,1,1,0,0,1,1
233,1,0,0,0,0,1,0
234,0,0,0,0,0,1,0
235,0,0,0,0,0,1,0
236,1,0,0,0,0,1,0
237,0,1,1,1,1,1,0
238,1,1,0,1,1,1,1
239,1,0,0,0,1,1,0
240,1,0,0,0,1,1,0
241,1,0,0,0,1,1,0
242,1,0,1,0,0,1,0
243,1,1,1,1,1,1,1
244,1,1,1,1,1,1,1
245,1,0,1,0,0,1,0
246,0,0,0,0,0,0,0
247,0,0,0,0,0,0,0
248,1,0,0,0,1,1,0
249,1,0,1,0,0,1,0
250,0,0,0,0,0,0,0
251,1,1,0,1,1,1,1
252,1,1,1,1,1,1,1
253,1,1,0,1,1,1,1
254,1,1,1,1,1,1,1
255,1,1,0,1,1,1,1
256,0,1,1,1,1,1,0
257,1,1,0,1,1,1,1
258,1,0,0,0,0,1,0
259,1,0,0,0,0,1,0
260,1,1,1,0,1,1,0
261,0,1,1,1,1,1,0
262,1,0,1,0,0,1,0
263,1,0,0,0,0,1,0
264,1,0,0,0,0,1,0
265,0,0,1,0,0,1,0
266,1,1,1,1,1,0,1
267,1,1,1,0,1,1,0
268,1,1,1,1,1,1,1
269,1,0,0,0,1,1,0
270,1,1,1,1,1,1,1
271,1,1,1,1,1,1,1
272,1,0,0,0,0,1,0
273,1,1,0,1,1,1,1
274,1,1,1,1,1,1,1
275,1,1,1,1,1,1,1
276,1,0,0,0,1,1,0
277,1,0,0,0,1,1,0
278,1,1,1,1,1,1,1
279,1,1,1,1,1,1,1
280,0,0,0,0,0,0,0
281,1,0,0,0,0,1,0
282,1,0,0,0,0,1,0
283,1,1,0,1,1,0,1
284,1,0,0,0,1,1,0
285,1,0,0,0,0,1,0
286,1,1,1,0,0,1,1
287,1,0,0,0,0,1,0
288,1,0,0,0,1,1,0
289,1,1,1,1,1,1,1
290,1,1,1,0,0,1,1
291,1,0,0,0,1,1,0
292,1,1,1,1,1,1,1
293,1,1,1,1,1,1,1
294,1,0,0,0,0,1,0
295,0,1,1,0,0,1,0
296,1,0,1,0,1,1,1
297,0,0,1,0,0,1,0
298,0,0,0,1,1,1,1
299,1,0,0,0,0,1,0
300,1,0,0,0,0,1,0
301,0,0,0,1,0,1,1
302,0,0,0,0,0,0,0
303,0,0,0,1,1,1,1
304,1,1,1,0,0,1,1
305,1,1,1,1,1,1,1
306,1,1,1,1,1,1,1
307,1,0,1,0,0,1,0
308,1,0,0,0,0,1,0
309,1,0,1,1,1,1,1
310,1,1,1,1,1,1,1
311,1,1,0,1,1,1,1
312,1,0,0,0,0,1,0
313,1,1,1,1,1,1,1
314,1,0,0,0,0,1,0
315,1,0,0,0,1,1,0
316,1,0,0,0,0,1,0
317,1,0,0,0,0,1,0
318,1,0,0,0,0,1,0
319,1,0,0,0,1,1,0
320,0,0,0,0,0,1,0
321,1,0,0,0,0,1,0
322,0,1,1,1,1,1,1
323,1,0,0,0,0,1,0
324,1,0,0,0,0,1,0
325,1,1,0,1,1,1,1
