col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,sumABCD,open_ratio,ratio_wk,meanABCD,vary_rate,vary_week_rate,vary_week3month_rate,holiday_sale,holiday3month_sale,economy,comment_cnt,per_pay,Monday,Tues,Wends,Thurs,Friday,cate_1_0,cate_1_1,cate_1_2,cate_2_0,cate_2_1,cate_2_2,cate_2_3,cate_2_4,cate_2_5,cate_2_6,cate_2_7,cate_2_8,cate_2_9,cate_2_10,cate_3_0,cate_3_1,cate_3_2,cate_3_3,cate_3_4,cate_3_5,cate_3_6,cate_3_7,cate_3_8,location_id,shop_info_level_0,shop_info_level_1,shop_info_level_2,view_0_x,view_1_x,view_2_x,view_3_x,view_4_x,view_5_x,view_6_x,view_0_y,view_1_y,view_2_y,view_3_y,view_4_y,view_5_y,view_6_y,std,max,min,median,mad,var
277.0,258.0,232.0,259.0,247.0,256.0,239.0,254.0,239.0,228.0,244.0,264.0,264.0,207.0,3468,1.0,0.297577854671,247.714285714,38,184,176,241,250,0.81658,12.0,8,231,231,231,231,231,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,885,0.0,0.0,1.0,45,42,26,35,30,20,25,23,29,24,20,27,25,19,17.9504813367,277,207,250.5,14.0,322.21978022
121.0,125.0,108.0,95.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,483,0.571428571429,0.534161490683,34.5,41,372,119,171,128,0.60398,0.0,19,91,91,91,91,91,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,64,0.0,1.0,0.0,27,25,23,25,33,30,23,26,32,23,25,28,25,9,52.2181076757,125,0,0.0,44.4285714286,2726.73076923
90.0,121.0,93.0,90.0,70.0,77.0,68.0,68.0,63.0,56.0,71.0,119.0,97.0,75.0,1158,1.0,0.351468048359,82.7142857143,15,65,65,87,94,0.60975,2.0,5,71,71,71,71,71,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,774,1.0,0.0,0.0,15,8,9,6,10,4,4,5,3,5,5,13,2,4,19.8549686532,121,56,76.0,16.2448979592,394.21978022
97.0,119.0,132.0,139.0,112.0,88.0,78.0,86.0,113.0,71.0,121.0,165.0,200.0,89.0,1610,1.0,0.389440993789,115.0,39,90,96,185,185,0.66036,0.0,18,102,102,102,102,102,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,380,0.0,1.0,0.0,28,27,28,20,33,46,25,19,19,13,24,40,29,15,35.6586379653,200,71,112.5,26.5714285714,1271.53846154
42.0,2.0,32.0,180.0,298.0,276.0,312.0,223.0,218.0,230.0,195.0,185.0,211.0,274.0,2678,1.0,0.248319641524,191.285714286,50,430,694,118,119,0.93549,2.0,2,242,242,242,242,242,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,263,1.0,0.0,0.0,12,7,9,6,1,7,1,6,2,5,11,6,5,17,98.9377648761,312,2,214.5,73.6326530612,9788.68131868
73.0,69.0,30.0,79.0,93.0,85.0,64.0,83.0,91.0,90.0,121.0,112.0,137.0,83.0,1210,1.0,0.298347107438,86.4285714286,13,79,134,59,68,0.70407,1.0,13,67,67,67,67,67,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1139,1.0,0.0,0.0,9,11,8,10,10,10,5,12,5,9,8,9,10,7,25.9221149592,137,30,84.0,17.9183673469,671.956043956
173.0,150.0,160.0,113.0,96.0,157.0,117.0,136.0,93.0,128.0,140.0,183.0,208.0,135.0,1989,1.0,0.378582202112,142.071428571,31,205,313,170,190,0.77426,9.0,13,152,152,152,152,152,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,145,0.0,0.0,1.0,24,29,14,20,34,25,7,23,18,16,14,15,20,10,32.6743001472,208,93,138.0,25.5102040816,1067.60989011
75.0,76.0,76.0,60.0,82.0,60.0,72.0,81.0,63.0,65.0,49.0,103.0,101.0,66.0,1029,1.0,0.321185617104,73.5,19,60,60,89,89,0.93549,1.0,16,73,73,73,73,73,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,234,1.0,0.0,0.0,11,11,5,5,2,3,6,8,9,1,3,2,2,1,15.1289330551,103,49,73.5,11.3571428571,228.884615385
187.0,203.0,228.0,263.0,227.0,233.0,234.0,225.0,202.0,192.0,197.0,251.0,282.0,254.0,3178,1.0,0.330868470736,227.0,24,86,105,198,281,0.93549,0.0,15,253,253,253,253,253,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1120,0.0,1.0,0.0,11,6,5,5,10,6,5,10,6,4,7,11,4,2,28.6114554788,282,187,227.5,22.2857142857,818.615384615
43.0,45.0,62.0,93.0,100.0,67.0,71.0,108.0,111.0,73.0,89.0,76.0,103.0,96.0,1137,1.0,0.267810026385,81.2142857143,9,50,63,38,46,0.49237,0.0,10,41,41,41,41,41,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,98,1.0,0.0,0.0,0,4,0,0,1,3,4,1,2,0,3,3,1,1,22.1747554715,111,43,82.5,18.7857142857,491.71978022
